,BTCUSDT_BTCUSDT,BTCUSDT_ETHUSDT,BTCUSDT_ADAUSDT,ETHUSDT_BTCUSDT,ETHUSDT_ETHUSDT,ETHUSDT_ADAUSDT,ADAUSDT_BTCUSDT,ADAUSDT_ETHUSDT,ADAUSDT_ADAUSDT
2018-04-18,65.88244172303607,51.32087742369344,-1.0335782951492334,51.28501655588777,29.848799041565695,-21.609287645845342,-1.0550112951463024,-21.507156443777312,-74.83084114791794
2018-04-19,66.51058854091622,53.20216373986777,0.4337049569097875,53.26808480942289,33.1841660880427,-18.885575177344098,0.34896930444671526,-18.90706909319363,-72.16285351633346
2018-04-20,69.68307536686287,53.56371267307225,1.7196961019272194,53.80493658775733,33.75540832849168,-18.535388512563205,0.8827530638123893,-18.928538336610305,-71.8916076491393
2018-04-21,68.74358653986712,53.83609652761052,1.053629533530895,53.75830244365422,33.90618234721087,-18.41912433761936,1.0681099163993615,-18.311526942250737,-71.74363583711107
2018-04-22,69.35525130091911,53.72325192882069,0.7187271249636815,53.73583602697557,33.669353604386046,-18.84830291490002,1.115260169022152,-18.517318550494394,-71.87013025282693
2018-04-23,68.8805548964715,53.68935611593201,1.6504077378190445,53.706559940973015,33.51228851357187,-18.039282458002862,1.6125100493640971,-18.015226355121577,-70.54757889742282
2018-04-24,69.85020508467761,54.03712761911233,2.948022302375584,53.753422840592734,33.48014224640288,-16.62840310276674,2.943318899885508,-16.455265838514592,-68.63475592153563
2018-04-25,70.33920724550097,54.88341612451157,3.124997874708196,54.816904205835556,35.204784198589905,-16.465479565623312,3.172925416108219,-16.29218522796049,-67.64537433222041
2018-04-26,70.39173186175995,53.05449203631166,2.11575992833194,53.04122046635253,32.25918523552721,-17.950036792675476,2.080054004115146,-17.83822791074476,-68.50459308744504
2018-04-27,68.84760077127888,53.06030960785856,2.2265180990655953,52.88175641893679,32.49119492072521,-17.82984088171385,2.381424490937693,-17.576270818234423,-68.42664232086508
2018-04-28,68.49243113171408,52.88330931164684,1.6345102626568053,52.80674141307101,33.09251816296755,-18.06147146940959,1.6589199128076313,-17.800992077706937,-69.15351122224635
2018-04-29,68.21200335327264,54.261229527124,1.5870647409358707,53.15219986768805,32.48798580311134,-17.602322215473183,1.6423285360574482,-17.480439772281905,-69.8107077226696
2018-04-30,69.13554607783,54.58121095139796,0.9626743356686873,53.190794970952254,33.55274534515671,-17.91776673037858,1.0113953198808776,-17.82344981397997,-70.84828094167722
2018-05-01,68.678702093293,55.043959335048655,0.8609802106870035,54.81447985646306,36.910730900074796,-17.63656269623598,0.738804243298647,-17.36348122456929,-71.68417797669873
2018-05-02,67.73045715857002,54.373842105665396,0.583237164590722,54.376404059401814,36.87678971667253,-17.90502457089834,0.2936365347547145,-17.447400477561736,-72.66588782075236
2018-05-03,68.29555924118849,54.70713426240142,0.29748083483369037,54.74784173130928,36.787463195271116,-17.610253045094527,-0.08385140685639669,-17.859841190022067,-73.73416976675453
